id,title,description,category,priority,status,source_section,verification_method,acceptance_criteria,dependencies,metadata
REQ_H52_159,satisfy the following minimum requirements:,satisfy the following minimum requirements:,General,Low,Draft,H52 - Abnormal conditions,Inspection,To be defined,[],"{'extracted_from': 'H52', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H53_160,implement a comprehensive helium recovery strategy able to cope with the following He flow from the ...,implement a comprehensive helium recovery strategy able to cope with the following He flow from the users:,General,Low,Draft,H53 - Helium recovery,Inspection,To be defined,[],"{'extracted_from': 'H53', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H53_161,present a high-level description of the helium recovery strategy including but not limited to a Bill...,"present a high-level description of the helium recovery strategy including but not limited to a Bill of Materials (BoM) of all recovery components, including low-pressure gas balloon storage and/or high-pressure compressor-driven recovery options and/or dedicated purification system.",General,Low,Draft,H53 - Helium recovery,Inspection,To be defined,[],"{'extracted_from': 'H53', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H53_162,indicate what SSC or other design provisions required to contain/minimize all helium losses to no mo...,indicate what SSC or other design provisions required to contain/minimize all helium losses to no more than 1% of total inventory.,General,Low,Draft,H53 - Helium recovery,Inspection,To be defined,[],"{'extracted_from': 'H53', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H53_163,have an input to the QRB-S where the QCELL safety valves shall discharge  to (via the QINFRA-S line)...,have an input to the QRB-S where the QCELL safety valves shall discharge  to (via the QINFRA-S line).,General,Low,Draft,H53 - Helium recovery,Inspection,To be defined,[],"{'extracted_from': 'H53', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H54_164,"be cleaned before assembly, using proper solvents and water to remove any trace of acid flux, organi...","be cleaned before assembly, using proper solvents and water to remove any trace of acid flux, organic depositions and any other dirt and dust.",General,Low,Draft,H54 - Cleaning and surface treatment,Inspection,To be defined,[],"{'extracted_from': 'H54', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H54_165,"be cleaned, pickled, and passivated.  The completed components shall also undergo cleaning (degreasi...","be cleaned, pickled, and passivated.  The completed components shall also undergo cleaning (degreasing, cleaning, and drying) prior to helium leak testing.",General,Low,Draft,H54 - Cleaning and surface treatment,Testing,To be defined,[],"{'extracted_from': 'H54', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_166,facilitate helium compression across at least three pressure levels:,facilitate helium compression across at least three pressure levels:,General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_167,be connected to the warm gas helium storage (WHS).,be connected to the warm gas helium storage (WHS).,General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_168,be installed between each pair of pressure headers (VLP ↔ LP and LP ↔ HP).,be installed between each pair of pressure headers (VLP ↔ LP and LP ↔ HP).,General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_169,be sized to pass ≥ 100 % of the maximum steady-state mass-flow rate of the associated compressor tra...,be sized to pass ≥ 100 % of the maximum steady-state mass-flow rate of the associated compressor train under the worst-case differential-pressure condition.,General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_170,connect the helium-gas storage:,connect the helium-gas storage:,General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_171,be installed downstream of the fine dust filter after the oil charcoal adsorber.,be installed downstream of the fine dust filter after the oil charcoal adsorber.,General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_172,be performed via control valves located in the WCS building to prevent fast pressure variation.  All...,be performed via control valves located in the WCS building to prevent fast pressure variation.  All helium connections between the WCS and the QRB shall be routed through control valves located inside the WCS building to limit pressure-transient rates to values approved by SCK CEN.,General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_173,be fitted with non-return valves that automatically close when the compressor stops,be fitted with non-return valves that automatically close when the compressor stops,General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_174,not exceed 80 dB(A) at 1 m during any steady-state operating mode.,not exceed 80 dB(A) at 1 m during any steady-state operating mode.,General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_175,submit noise-test reports for each compressor and its electric-motor drive in accordance with ISO 21...,"submit noise-test reports for each compressor and its electric-motor drive in accordance with ISO 2151 (or an equivalent international standard).  Reports shall be provided after factory acceptance tests (FAT) and after site acceptance tests (SAT), demonstrating compliance with RTM-0119.",General,Low,Draft,H55 - Warm Compressor Station,Testing,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_176,comply with ISO 2372 (or its successor ISO 20816).,comply with ISO 2372 (or its successor ISO 20816).,General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_177,submit a vibration-analysis report and calculation dossier for SCK CEN approval.  During commissioni...,"submit a vibration-analysis report and calculation dossier for SCK CEN approval.  During commissioning, the Contractor shall verify the guaranteed vibration values using calibrated instruments and test methods in accordance with ISO 2954.",General,Low,Draft,H55 - Warm Compressor Station,Testing,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_178,provide ductwork and connection points that enable the residual heat (< 120 kW) to be evacuated to t...,"provide ductwork and connection points that enable the residual heat (< 120 kW) to be evacuated to the site HVAC interface defined in § 3.4.4. The Contractor shall specify duct cross-section, air-flow rate, and interface flange details for SCK CEN approval.",Interface,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_179,be recoverable via the site hot water network (40/50°C) described in 3.6.4.4.,be recoverable via the site hot water network (40/50°C) described in 3.6.4.4.,General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_180,operate only when a hot-water demand signal is present.,operate only when a hot-water demand signal is present.,General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_181,"demonstrate, by heat-balance calculations, that the recovered-water temperature and the percentage o...","demonstrate, by heat-balance calculations, that the recovered-water temperature and the percentage of heat recovered meet the 65 % target when the cooling-water supply temperature is 27 °C.",General,Low,Draft,H55 - Warm Compressor Station,Analysis,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_182,quantify the expected heat recovery per operating scenario),quantify the expected heat recovery per operating scenario),General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_183,define the size and quantity of machines—minimum three (3) per compressor stage—to achieve the requi...,define the size and quantity of machines—minimum three (3) per compressor stage—to achieve the required flow turndown for all operating modes.,General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_184,be identical in type and rating to simplify maintenance and spare-parts management.,be identical in type and rating to simplify maintenance and spare-parts management.,General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_185,"be 400 V, 3-phase, 50 Hz.","be 400 V, 3-phase, 50 Hz.",General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_186,be direct and incorporate a removable shaft coupling.,be direct and incorporate a removable shaft coupling.,General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_187,include an oil-retention reservoir sized to contain the full oil inventory of the skid in the event ...,include an oil-retention reservoir sized to contain the full oil inventory of the skid in the event of pipe rupture.,General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_188,incorporate an internal slide-valve control capable of turndown to ≤ 30 % of rated mass-flow while m...,incorporate an internal slide-valve control capable of turndown to ≤ 30 % of rated mass-flow while maintaining stable operation.,Functional,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_189,be equipped with a variable-frequency drive (VFD) rated for full-load current.  Nominal operation sh...,be equipped with a variable-frequency drive (VFD) rated for full-load current.  Nominal operation shall strive for efficient point (close to most efficient),Functional,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H55_190,state proposed number of LP compressors and HP compressors and confirm the long term sustainable fre...,state proposed number of LP compressors and HP compressors and confirm the long term sustainable frequency (in event of higher than standard 60 Hz (e.g. HP compressors for KAEZER operate at elevated up to 72 Hz,General,Low,Draft,H55 - Warm Compressor Station,Inspection,To be defined,[],"{'extracted_from': 'H55', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H56_191,"be designed for the cooling-water quality, fouling factor, inlet temperature and flow specified in §...","be designed for the cooling-water quality, fouling factor, inlet temperature and flow specified in § 3.6.4.2",General,Low,Draft,H56 - Coolers,Inspection,To be defined,[],"{'extracted_from': 'H56', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H56_192,be installed at the outlet of each cooler to regulate water flow.,be installed at the outlet of each cooler to regulate water flow.,General,Low,Draft,H56 - Coolers,Inspection,To be defined,[],"{'extracted_from': 'H56', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H56_193,be provided with purge valves suitable for nitrogen blow-through or helium rinse during maintenance.,be provided with purge valves suitable for nitrogen blow-through or helium rinse during maintenance.,General,Low,Draft,H56 - Coolers,Inspection,To be defined,[],"{'extracted_from': 'H56', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H56_194,be installed.,be installed.,General,Low,Draft,H56 - Coolers,Inspection,To be defined,[],"{'extracted_from': 'H56', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H56_195,be set up at the inlet of each cooler.,be set up at the inlet of each cooler.,General,Low,Draft,H56 - Coolers,Inspection,To be defined,[],"{'extracted_from': 'H56', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H57_196,supply compressor oil whose purity does not exceed 25 µm particle size and 1 ppm v/v water content.,supply compressor oil whose purity does not exceed 25 µm particle size and 1 ppm v/v water content.,General,Low,Draft,H57 - Oil,Inspection,To be defined,[],"{'extracted_from': 'H57', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H57_197,"include in the operation and maintenance manual detailed procedures for oil preparation, dehydration...","include in the operation and maintenance manual detailed procedures for oil preparation, dehydration, and filtration prior to first fill and after major maintenance activities.",Functional,Low,Draft,H57 - Oil,Inspection,To be defined,[],"{'extracted_from': 'H57', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H57_198,provide a routine oil-analysis schedule specifying sampling frequency and acceptance limits for part...,"provide a routine oil-analysis schedule specifying sampling frequency and acceptance limits for particle count, water content and acid number.",General,Low,Draft,H57 - Oil,Analysis,To be defined,[],"{'extracted_from': 'H57', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H59_199,"be fitted with a dedicated, automatically controlled auxiliary oil pump that maintains the minimum b...","be fitted with a dedicated, automatically controlled auxiliary oil pump that maintains the minimum bearing-lubrication pressure during start-up, shutdown, and coast-down.",General,Low,Draft,H59 - Oil-pump units,Inspection,To be defined,[],"{'extracted_from': 'H59', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H59_200,be equipped with suction and discharge pressure transmitters and a loss-of-flow alarm interlocked wi...,be equipped with suction and discharge pressure transmitters and a loss-of-flow alarm interlocked with the compressor protection system.,General,Low,Draft,H59 - Oil-pump units,Inspection,To be defined,[],"{'extracted_from': 'H59', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H60_201,be located above the vessel sludge line to minimize ingestion of settled contaminants.,be located above the vessel sludge line to minimize ingestion of settled contaminants.,General,Low,Draft,H60 - Oil-retention vessel,Inspection,To be defined,[],"{'extracted_from': 'H60', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H60_202,be connected to the lowest point of each retention vessel.,be connected to the lowest point of each retention vessel.,General,Low,Draft,H60 - Oil-retention vessel,Inspection,To be defined,[],"{'extracted_from': 'H60', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H60_203,be fitted with an electric heater to pre-heat the oil prior to compressor start-up.,be fitted with an electric heater to pre-heat the oil prior to compressor start-up.,General,Low,Draft,H60 - Oil-retention vessel,Inspection,To be defined,[],"{'extracted_from': 'H60', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H60_204,include a differential-pressure indicator across the internal separator to allow fouling monitoring.,include a differential-pressure indicator across the internal separator to allow fouling monitoring.,General,Low,Draft,H60 - Oil-retention vessel,Inspection,To be defined,[],"{'extracted_from': 'H60', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H60_205,include heater for pre-heating the oil.  Integration with heat recovery shall guide the design.,include heater for pre-heating the oil.  Integration with heat recovery shall guide the design.,Interface,Low,Draft,H60 - Oil-retention vessel,Inspection,To be defined,[],"{'extracted_from': 'H60', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H60_206,"be fitted with a dedicated, automatically controlled auxiliary oil pump that maintains the minimum b...","be fitted with a dedicated, automatically controlled auxiliary oil pump that maintains the minimum bearing-lubrication pressure during start-up, shutdown, and coast-down.",General,Low,Draft,H60 - Oil-retention vessel,Inspection,To be defined,[],"{'extracted_from': 'H60', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H61_207,"be protected by duplex (change-over) filters rated 25 µm absolute, mounted in parallel.","be protected by duplex (change-over) filters rated 25 µm absolute, mounted in parallel.",General,Low,Draft,H61 - Oil filters,Inspection,To be defined,[],"{'extracted_from': 'H61', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H61_208,be installed at the injection points of compressor bearings and shaft seals.,be installed at the injection points of compressor bearings and shaft seals.,General,Low,Draft,H61 - Oil filters,Inspection,To be defined,[],"{'extracted_from': 'H61', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H61_209,be installed at the injection points of compressor bearings and shaft seals.,be installed at the injection points of compressor bearings and shaft seals.,General,Low,Draft,H61 - Oil filters,Inspection,To be defined,[],"{'extracted_from': 'H61', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H61_210,be installed upstream and downstream of every oil filter.,be installed upstream and downstream of every oil filter.,General,Low,Draft,H61 - Oil filters,Inspection,To be defined,[],"{'extracted_from': 'H61', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H61_211,be provided across each oil filter to give a visual indication of filter blockage.,be provided across each oil filter to give a visual indication of filter blockage.,General,Low,Draft,H61 - Oil filters,Inspection,To be defined,[],"{'extracted_from': 'H61', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H62_212,be equipped with manual isolation valves in all connecting piping to permit full circuit isolation f...,be equipped with manual isolation valves in all connecting piping to permit full circuit isolation for maintenance.,General,Low,Draft,H62 - Purge and fill up requirements,Inspection,To be defined,[],"{'extracted_from': 'H62', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H62_213,design the purge system and slope all relevant piping at a minimum gradient of 1 % toward designated...,design the purge system and slope all relevant piping at a minimum gradient of 1 % toward designated oil traps to prevent migration of oil into oil-free regions.,General,Low,Draft,H62 - Purge and fill up requirements,Inspection,To be defined,[],"{'extracted_from': 'H62', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H64_214,"be installed in series, with dimensions such that sufficiently low gas velocity is achieved through ...","be installed in series, with dimensions such that sufficiently low gas velocity is achieved through the filter elements for efficient coalescing.",General,Low,Draft,H64 - Coalescers,Inspection,To be defined,[],"{'extracted_from': 'H64', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H64_215,be determined for the highest possible volumetric flow during the distinct phases of compressor oper...,"be determined for the highest possible volumetric flow during the distinct phases of compressor operation, plus a 20% margin.",Functional,Low,Draft,H64 - Coalescers,Inspection,To be defined,[],"{'extracted_from': 'H64', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H64_216,be capable of withstanding compressor vibration.,be capable of withstanding compressor vibration.,General,Low,Draft,H64 - Coalescers,Inspection,To be defined,[],"{'extracted_from': 'H64', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H64_217,be equipped with standpipe on which magnetic level indicator is positioned.  Level is monitored loca...,be equipped with standpipe on which magnetic level indicator is positioned.  Level is monitored locally and from the control system with high level alarms and shutdowns.,General,Low,Draft,H64 - Coalescers,Inspection,To be defined,[],"{'extracted_from': 'H64', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H64_218,be carried out using a motorized valve controlled by the level indicator mentioned above.,be carried out using a motorized valve controlled by the level indicator mentioned above.,General,Low,Draft,H64 - Coalescers,Inspection,To be defined,[],"{'extracted_from': 'H64', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H64_219,reduce the oil content of the stream to less than 40 ppb.,reduce the oil content of the stream to less than 40 ppb.,General,Low,Draft,H64 - Coalescers,Inspection,To be defined,[],"{'extracted_from': 'H64', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H64_220,lead to a shutdown of the compressor station.,lead to a shutdown of the compressor station.,General,Low,Draft,H64 - Coalescers,Inspection,To be defined,[],"{'extracted_from': 'H64', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H65_221,be designed for a flow 20 % higher than the maximum compressor flow going to the cold box.,be designed for a flow 20 % higher than the maximum compressor flow going to the cold box.,General,Low,Draft,H65 - Charcoal adsorber,Inspection,To be defined,[],"{'extracted_from': 'H65', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H65_222,be used as adsorbent filling.  No filling consisting of irregularly broken particles shall be accept...,be used as adsorbent filling.  No filling consisting of irregularly broken particles shall be accepted.,General,Low,Draft,H65 - Charcoal adsorber,Inspection,To be defined,[],"{'extracted_from': 'H65', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H65_223,be cleaned and dried by the Contractor to avoid dust and moisture.,be cleaned and dried by the Contractor to avoid dust and moisture.,General,Low,Draft,H65 - Charcoal adsorber,Inspection,To be defined,[],"{'extracted_from': 'H65', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H65_224,permit an operation time in the 2 K operation mode of at least 3 years without exceeding the guarant...,permit an operation time in the 2 K operation mode of at least 3 years without exceeding the guaranteed maximum outlet impurity of 10 ppb.,Performance,Low,Draft,H65 - Charcoal adsorber,Inspection,To be defined,[],"{'extracted_from': 'H65', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H65_225,verify that the filling of the bed is regular and no preferred passages for the helium exist.,verify that the filling of the bed is regular and no preferred passages for the helium exist.,General,Low,Draft,H65 - Charcoal adsorber,Testing,To be defined,[],"{'extracted_from': 'H65', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H65_226,demonstrate (based on design and previous experiences) that movement of the adsorbent and the carry-...,demonstrate (based on design and previous experiences) that movement of the adsorbent and the carry-over of dust particles is avoided.,General,Low,Draft,H65 - Charcoal adsorber,Inspection,To be defined,[],"{'extracted_from': 'H65', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H65_227,be from top to bottom.,be from top to bottom.,General,Low,Draft,H65 - Charcoal adsorber,Inspection,To be defined,[],"{'extracted_from': 'H65', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H65_228,supply any equipment necessary to fill the adsorber without degrading the adsorbent.,supply any equipment necessary to fill the adsorber without degrading the adsorbent.,General,Low,Draft,H65 - Charcoal adsorber,Inspection,To be defined,[],"{'extracted_from': 'H65', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H65_229,be supplied by the Contractor.,be supplied by the Contractor.,General,Low,Draft,H65 - Charcoal adsorber,Inspection,To be defined,[],"{'extracted_from': 'H65', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H65_230,be equipped with adequate thermal insulation to prevent from personal risk of burn on hot surfaces t...,be equipped with adequate thermal insulation to prevent from personal risk of burn on hot surfaces throughout the drying of the adsorber by means of hot nitrogen.,General,Low,Draft,H65 - Charcoal adsorber,Inspection,To be defined,[],"{'extracted_from': 'H65', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H66_231,be designed for the full helium mass flow (HP total mass flow) contaminated up to 50 ppm by volume o...,be designed for the full helium mass flow (HP total mass flow) contaminated up to 50 ppm by volume of water for a duration of 12 hours before regeneration.,General,Low,Draft,H66 - Helium dryer,Inspection,To be defined,[],"{'extracted_from': 'H66', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H66_232,remove water in the helium to a level of less than 1 ppm.,remove water in the helium to a level of less than 1 ppm.,General,Low,Draft,H66 - Helium dryer,Inspection,To be defined,[],"{'extracted_from': 'H66', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H66_233,operate at the High Pressure of the WCS without generating a total pressure drop of more than 0.5 ba...,operate at the High Pressure of the WCS without generating a total pressure drop of more than 0.5 bar.,General,Low,Draft,H66 - Helium dryer,Inspection,To be defined,[],"{'extracted_from': 'H66', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H66_234,not exceed 12 hours.,not exceed 12 hours.,General,Low,Draft,H66 - Helium dryer,Inspection,To be defined,[],"{'extracted_from': 'H66', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H66_235,include inlet and outlet valves and a by-pass circuit.  The regeneration shall be performed by circu...,include inlet and outlet valves and a by-pass circuit.  The regeneration shall be performed by circulation of warm and dry nitrogen gas.,General,Low,Draft,H66 - Helium dryer,Inspection,To be defined,[],"{'extracted_from': 'H66', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H66_236,be installed to trap particles of dryer adsorbent.,be installed to trap particles of dryer adsorbent.,General,Low,Draft,H66 - Helium dryer,Inspection,To be defined,[],"{'extracted_from': 'H66', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H66_237,provide the necessary replacement frequency and associated procedure.,provide the necessary replacement frequency and associated procedure.,General,Low,Draft,H66 - Helium dryer,Inspection,To be defined,[],"{'extracted_from': 'H66', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H67_238,include a recovery header for helium gas at room temperature and atmospheric pressure collecting saf...,include a recovery header for helium gas at room temperature and atmospheric pressure collecting safety valves and potentially for future external user.,General,Low,Draft,H67 - Recovery and purification system for ad-hoc user,Inspection,To be defined,[],"{'extracted_from': 'H67', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H67_239,be connected to the LP of the warm compressors.,be connected to the LP of the warm compressors.,General,Low,Draft,H67 - Recovery and purification system for ad-hoc user,Inspection,To be defined,[],"{'extracted_from': 'H67', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H67_240,be permanently measured.,be permanently measured.,General,Low,Draft,H67 - Recovery and purification system for ad-hoc user,Inspection,To be defined,[],"{'extracted_from': 'H67', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H67_241,"exist.  The Contractor shall make recommendation on required external purification system, or as a m...","exist.  The Contractor shall make recommendation on required external purification system, or as a minimum specify the limits (in terms of impurities) to avoid negative impact on the main QPLANT function.",Functional,Low,Draft,H67 - Recovery and purification system for ad-hoc user,Inspection,To be defined,[],"{'extracted_from': 'H67', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H68_242,install at least the following gas filters:,install at least the following gas filters:,General,Low,Draft,H68 - Gas Filters,Inspection,To be defined,[],"{'extracted_from': 'H68', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H68_243,be installed.,be installed.,General,Low,Draft,H68 - Gas Filters,Inspection,To be defined,[],"{'extracted_from': 'H68', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H68_244,be equipped by manual shut-off valves to minimize contact with air.,be equipped by manual shut-off valves to minimize contact with air.,General,Low,Draft,H68 - Gas Filters,Inspection,To be defined,[],"{'extracted_from': 'H68', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H69_245,submit to SCK CEN for approval all measuring points necessary for operation and protection of the eq...,submit to SCK CEN for approval all measuring points necessary for operation and protection of the equipment.,Functional,Low,Draft,H69 - Measuring points,Inspection,To be defined,[],"{'extracted_from': 'H69', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H69_246,be exploitable by the QPLANT:CIS,be exploitable by the QPLANT:CIS,General,Low,Draft,H69 - Measuring points,Inspection,To be defined,[],"{'extracted_from': 'H69', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H71_247,be a horizontal cold box to fit with the building constraints (see Error! Reference source not found...,be a horizontal cold box to fit with the building constraints (see Error! Reference source not found.).,General,Low,Draft,H71 - General description,Inspection,To be defined,[],"{'extracted_from': 'H71', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H71_248,comprise the following internal components:,comprise the following internal components:,General,Low,Draft,H71 - General description,Inspection,To be defined,[],"{'extracted_from': 'H71', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_20_249,be installed in the Cold Box room (as described in 3.6.3.),be installed in the Cold Box room (as described in 3.6.3.),General,Low,Draft,20 - K single bed adsorber,Inspection,To be defined,[],"{'extracted_from': '20', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_20_250,be agreed with SCK CEN.,be agreed with SCK CEN.,General,Low,Draft,20 - K single bed adsorber,Inspection,To be defined,[],"{'extracted_from': '20', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_20_251,provide a 3D MODEL with fudicial details for QRB-A/B/E/D – since interfacing QINFRA-A/B/D/E via the ...,provide a 3D MODEL with fudicial details for QRB-A/B/E/D – since interfacing QINFRA-A/B/D/E via the main cryogenic distribution header interconnecting the QRB with,General,Low,Draft,20 - K single bed adsorber,Inspection,To be defined,[],"{'extracted_from': '20', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
